client_ID,prob_default,risk_bucket
CUST_00001,0.9922899562926252,Very High
CUST_00002,0.0492933235437137,Very Low
CUST_00003,0.994465215859698,Very High
CUST_00004,0.8959567421226667,Very High
CUST_00005,0.9727659113876514,Very High
CUST_00006,0.10687668889445565,Very Low
CUST_00007,0.5636201959214129,Medium
CUST_00008,0.6556980312541845,High
CUST_00009,0.4029258409095682,Medium
CUST_00010,0.4355095688703374,Medium
CUST_00011,0.3183667947632922,Low
CUST_00012,0.8369298670683023,Very High
CUST_00013,0.15029483277473446,Very Low
CUST_00014,0.8248931746877393,Very High
CUST_00015,0.09462644534129945,Very Low
CUST_00016,0.013964930297220705,Very Low
CUST_00017,0.08419492954913489,Very Low
CUST_00018,0.963868900451424,Very High
CUST_00019,0.8555273055497804,Very High
CUST_00020,0.3413070027107636,Low
CUST_00021,0.0227098288634324,Very Low
CUST_00022,0.6942461377702973,High
CUST_00023,0.9823759479005123,Very High
CUST_00024,0.047363806092054914,Very Low
CUST_00025,0.9370438615687744,Very High
CUST_00026,0.8891980056172926,Very High
CUST_00027,0.9932013581575444,Very High
CUST_00028,0.05372026901574398,Very Low
CUST_00029,0.8735461664358726,Very High
CUST_00030,0.8929803575052211,Very High
CUST_00031,0.15022291413410319,Very Low
CUST_00032,0.054527843160393996,Very Low
CUST_00033,0.5787638747468784,Medium
CUST_00034,0.0900874470874805,Very Low
CUST_00035,0.12126613092659323,Very Low
CUST_00036,0.09693250279532639,Very Low
CUST_00037,0.9976882185686005,Very High
CUST_00038,0.9849722445368259,Very High
CUST_00039,0.9771321061387277,Very High
CUST_00040,0.964510571136838,Very High
CUST_00041,0.9907372329634405,Very High
CUST_00042,0.1061668350927489,Very Low
CUST_00043,0.009946656346552691,Very Low
CUST_00044,0.10544778814827106,Very Low
CUST_00045,0.020397571562990754,Very Low
CUST_00046,0.17262416659688404,Very Low
CUST_00047,0.5636402797900955,Medium
CUST_00048,0.3581065246905351,Low
CUST_00049,0.7793336101272226,High
CUST_00050,0.33579241749227395,Low
CUST_00051,0.9380345846224619,Very High
CUST_00052,0.9806281170569703,Very High
CUST_00053,0.4410675013563892,Medium
CUST_00054,0.16695245813457132,Very Low
CUST_00055,0.08752762371142364,Very Low
CUST_00056,0.17678017122688106,Very Low
CUST_00057,0.03139948695161492,Very Low
CUST_00058,0.0018067593927617765,Very Low
CUST_00059,0.07954665161262157,Very Low
CUST_00060,0.41269047585416996,Medium
CUST_00061,0.03753669559497287,Very Low
CUST_00062,0.006027969205851507,Very Low
CUST_00063,0.05081276456446696,Very Low
CUST_00064,0.3585834418569771,Low
CUST_00065,0.9515716187313736,Very High
CUST_00066,0.8000536681283443,Very High
CUST_00067,0.007377116685810266,Very Low
CUST_00068,0.4240006211680156,Medium
CUST_00069,0.02850747200235109,Very Low
CUST_00070,0.08466067666191224,Very Low
CUST_00071,0.3767432107589204,Low
CUST_00072,0.8339866547190316,Very High
CUST_00073,0.27308733828439463,Low
CUST_00074,0.5435892122435798,Medium
CUST_00075,0.15739330226493817,Very Low
CUST_00076,0.7802006920021718,High
CUST_00077,0.21458650030536378,Low
CUST_00078,0.6109439617948315,High
CUST_00079,0.6192376045053026,High
CUST_00080,0.8446384381137892,Very High
CUST_00081,0.07733803372800206,Very Low
CUST_00082,0.07291088854158155,Very Low
CUST_00083,0.38518798295829654,Low
CUST_00084,0.11414182116227782,Very Low
CUST_00085,0.2282204095242569,Low
CUST_00086,0.19638425948545948,Very Low
CUST_00087,0.14422818439161628,Very Low
CUST_00088,0.7069844413393995,High
CUST_00089,0.9823105092627462,Very High
CUST_00090,0.6568058656127908,High
CUST_00091,0.0058876255347950325,Very Low
CUST_00092,0.896666193500762,Very High
CUST_00093,0.4822986351743658,Medium
CUST_00094,0.8634157024823997,Very High
CUST_00095,0.7987905692071968,High
CUST_00096,0.14751304961764872,Very Low
CUST_00097,0.1411925994107019,Very Low
CUST_00098,0.6085805413945748,High
CUST_00099,0.0681214306356019,Very Low
CUST_00100,0.012079270959603379,Very Low
CUST_00101,0.06951724703674558,Very Low
CUST_00102,0.5210672968693537,Medium
CUST_00103,0.04797752796261939,Very Low
CUST_00104,0.031351585897122024,Very Low
CUST_00105,0.3437897313127255,Low
CUST_00106,0.2412273313599292,Low
CUST_00107,0.1131512451826119,Very Low
CUST_00108,0.9698237068841454,Very High
CUST_00109,0.9983843918816315,Very High
CUST_00110,0.35551597977874266,Low
CUST_00111,0.8075392905859522,Very High
CUST_00112,0.0768750946181049,Very Low
CUST_00113,0.4846813306382316,Medium
CUST_00114,0.014502363424081484,Very Low
CUST_00115,0.1625862548999108,Very Low
CUST_00116,0.8975680080639209,Very High
CUST_00117,0.2527849330326761,Low
CUST_00118,0.998031264559373,Very High
CUST_00119,0.8950888886919824,Very High
CUST_00120,0.8802506688057881,Very High
CUST_00121,0.5019322863729433,Medium
CUST_00122,0.9975650691985327,Very High
CUST_00123,0.8881451318771929,Very High
CUST_00124,0.33850116811796505,Low
CUST_00125,0.08939420986622044,Very Low
CUST_00126,0.12703608690377916,Very Low
CUST_00127,0.013673964025848787,Very Low
CUST_00128,0.9016438384053627,Very High
CUST_00129,0.8844518185850847,Very High
CUST_00130,0.8865856878249581,Very High
CUST_00131,0.9977968724367866,Very High
CUST_00132,0.8323193356452386,Very High
CUST_00133,0.8131940163341583,Very High
CUST_00134,0.8638733696148971,Very High
CUST_00135,0.8589138050053476,Very High
CUST_00136,0.5735238890593912,Medium
CUST_00137,0.024780326557375974,Very Low
CUST_00138,0.03860262343722657,Very Low
CUST_00139,0.2649564447769718,Low
CUST_00140,0.047832109665106474,Very Low
CUST_00141,0.03852898077981447,Very Low
CUST_00142,0.02928660228878348,Very Low
CUST_00143,0.8995214404940668,Very High
CUST_00144,0.995690466834331,Very High
CUST_00145,0.8687946996244252,Very High
CUST_00146,0.9969555796633476,Very High
CUST_00147,0.9920925117101829,Very High
CUST_00148,0.1751335252009796,Very Low
CUST_00149,0.42270048319873155,Medium
CUST_00150,0.022352452179254027,Very Low
CUST_00151,0.007563195348212332,Very Low
CUST_00152,0.9944148075058745,Very High
CUST_00153,0.7961525814624925,High
CUST_00154,0.9885958972642894,Very High
CUST_00155,0.8116515748629188,Very High
CUST_00156,0.983425337883367,Very High
CUST_00157,0.8734782932221606,Very High
CUST_00158,0.890388002643359,Very High
CUST_00159,0.015353161188447945,Very Low
CUST_00160,0.5143155007890738,Medium
CUST_00161,0.9958817369525942,Very High
CUST_00162,0.7486485731330523,High
CUST_00163,0.7255225723997363,High
CUST_00164,0.9901034111986352,Very High
CUST_00165,0.8757001905885101,Very High
CUST_00166,0.15663212221357373,Very Low
CUST_00167,0.14348693362575554,Very Low
CUST_00168,0.06480271392076194,Very Low
CUST_00169,0.9942429810961536,Very High
CUST_00170,0.8123736277330057,Very High
CUST_00171,0.7249989951759822,High
CUST_00172,0.6981447009728176,High
CUST_00173,0.831337839235872,Very High
CUST_00174,0.989347850714943,Very High
CUST_00175,0.01853164122838859,Very Low
CUST_00176,0.06985877814684022,Very Low
CUST_00177,0.012222981947536399,Very Low
CUST_00178,0.057905391822440457,Very Low
CUST_00179,0.0679926629387929,Very Low
CUST_00180,0.06303206770375028,Very Low
CUST_00181,0.5778554948736744,Medium
CUST_00182,0.6541848776742522,High
CUST_00183,0.051492086291289194,Very Low
CUST_00184,0.04197000498988239,Very Low
CUST_00185,0.5357060772673928,Medium
CUST_00186,0.030512598454393264,Very Low
CUST_00187,0.05069581555616779,Very Low
CUST_00188,0.057306794793219325,Very Low
CUST_00189,0.9823786269636663,Very High
CUST_00190,0.2725197931549144,Low
CUST_00191,0.9510406322832696,Very High
CUST_00192,0.4603162282457425,Medium
CUST_00193,0.46772987508140745,Medium
CUST_00194,0.9449659786984748,Very High
CUST_00195,0.9563451737823743,Very High
CUST_00196,0.04980317801804524,Very Low
CUST_00197,0.32267617940864973,Low
CUST_00198,0.12387541593964906,Very Low
CUST_00199,0.9335852967681864,Very High
CUST_00200,0.36598912718700444,Low
CUST_00201,0.5280380596648985,Medium
CUST_00202,0.5641636191170457,Medium
CUST_00203,0.9873874357901006,Very High
CUST_00204,0.9181131645648198,Very High
CUST_00205,0.778913370658738,High
CUST_00206,0.3607899850297455,Low
CUST_00207,0.6596367008499586,High
CUST_00208,0.5488984580488006,Medium
CUST_00209,0.5697226050344608,Medium
CUST_00210,0.11043972245184773,Very Low
CUST_00211,0.012813482906841912,Very Low
CUST_00212,0.08465639388420845,Very Low
CUST_00213,0.043426988330795654,Very Low
CUST_00214,0.040446721187469836,Very Low
CUST_00215,0.41378706681683647,Medium
CUST_00216,0.9279169469067048,Very High
CUST_00217,0.02427643509831206,Very Low
CUST_00218,0.008381430950886237,Very Low
CUST_00219,0.6190051900931028,High
CUST_00220,0.2835878835365835,Low
CUST_00221,0.28475238848531553,Low
CUST_00222,0.006474479939945742,Very Low
CUST_00223,0.02086996779813379,Very Low
CUST_00224,0.08149752391282768,Very Low
CUST_00225,0.9749393770647918,Very High
CUST_00226,0.8208918342212307,Very High
CUST_00227,0.6962436931586629,High
CUST_00228,0.905083647418419,Very High
CUST_00229,0.4909970477925612,Medium
CUST_00230,0.3192894140249998,Low
CUST_00231,0.2519006434735999,Low
CUST_00232,0.5966611526953707,Medium
CUST_00233,0.08504302881802904,Very Low
CUST_00234,0.009409318719416391,Very Low
CUST_00235,0.6649584086739755,High
CUST_00236,0.016246801516793707,Very Low
CUST_00237,0.10173015078589971,Very Low
CUST_00238,0.06370617697496099,Very Low
CUST_00239,0.05167846381593116,Very Low
CUST_00240,0.028363971152236517,Very Low
CUST_00241,0.9644703071707044,Very High
CUST_00242,0.9376733006625637,Very High
CUST_00243,0.35579361240412455,Low
CUST_00244,0.4769157398728046,Medium
CUST_00245,0.2573104928535477,Low
CUST_00246,0.33974027781354793,Low
CUST_00247,0.864826355516573,Very High
CUST_00248,0.6447122092325848,High
CUST_00249,0.01857292795063411,Very Low
CUST_00250,0.9459964957219456,Very High
CUST_00251,0.0928664192839796,Very Low
CUST_00252,0.9435809478285347,Very High
CUST_00253,0.42044904983464826,Medium
CUST_00254,0.030029719305906533,Very Low
CUST_00255,0.030399511315676097,Very Low
CUST_00256,0.7697989621525712,High
CUST_00257,0.95249917994881,Very High
CUST_00258,0.9221814604351477,Very High
CUST_00259,0.8974918702201956,Very High
CUST_00260,0.9472346452339899,Very High
CUST_00261,0.9652486404927603,Very High
CUST_00262,0.35503578697939053,Low
CUST_00263,0.7169383408690552,High
CUST_00264,0.008055435197488475,Very Low
CUST_00265,0.008046257776015963,Very Low
CUST_00266,0.020059134320328163,Very Low
CUST_00267,0.01669865022522564,Very Low
CUST_00268,0.03824680376306156,Very Low
CUST_00269,0.44065073966087714,Medium
CUST_00270,0.8634864669295104,Very High
CUST_00271,0.9782156449608586,Very High
CUST_00272,0.399078983249475,Low
CUST_00273,0.9343267151201681,Very High
CUST_00274,0.3892900704199072,Low
CUST_00275,0.48576084813156667,Medium
CUST_00276,0.23737064698306248,Low
CUST_00277,0.742904757393141,High
CUST_00278,0.38737500171431594,Low
CUST_00279,0.9814959163697969,Very High
CUST_00280,0.9302199232685158,Very High
CUST_00281,0.032670312057455665,Very Low
